t,infer,step,vx_raw,wz_raw
1784787586.0344,104,3,0.01986,-0.04808
1784787586.0344,104,4,0.01779,-0.02837
1784787586.0344,104,5,0.01581,-0.02143
1784787586.0344,104,6,0.03363,-0.0704
1784787586.0344,104,7,0.03412,-0.06644
1784787586.0344,104,8,0.03777,-0.06548
1784787586.0344,104,9,0.04215,-0.06006
1784787586.0344,104,10,0.04834,-0.06503
1784787586.0344,104,11,0.04869,-0.0703
1784787586.0344,104,12,0.01237,-0.03947
1784787586.0344,104,13,0.02104,-0.06361
1784787586.0344,104,14,0.01401,-0.05072
1784787586.0344,104,15,0.01374,-0.04622
1784787586.0344,104,16,0.01841,-0.04385
1784787586.0344,104,17,0.0194,-0.04606
1784787586.0344,104,18,0.04147,-0.10258
1784787586.0344,104,19,0.02901,-0.08081
1784787586.0344,104,20,0.02722,-0.08224
1784787586.0344,104,21,0.02336,-0.08094
1784787586.0344,104,22,0.02343,-0.08154
1784787586.0344,104,23,0.02452,-0.08687
1784787586.0344,104,24,0.02417,-0.08639
1784787586.0344,104,25,0.02922,-0.09603
1784787586.0344,104,26,0.02893,-0.0939
1784787586.0344,104,27,0.03106,-0.10139
1784787586.0344,104,28,0.03017,-0.10374
1784787586.0344,104,29,0.03057,-0.10898
1784787586.0344,104,30,0.02818,-0.1016
1784787586.0344,104,31,0.04709,-0.04352
1784787586.0344,104,32,0.0449,-0.01899
1784787586.0344,104,33,0.04334,-0.02865
1784787586.0344,104,34,0.04112,-0.02329
1784787586.0344,104,35,0.04171,-0.0333
1784787586.0344,104,36,0.03914,-0.04779
1784787586.0344,104,37,0.0424,-0.07003
1784787586.0344,104,38,0.04088,-0.08186
1784787586.0344,104,39,0.0382,-0.08373
1784787586.0344,104,40,0.03659,-0.0811
1784787586.0344,104,41,0.03654,-0.07344
1784787586.0344,104,42,0.0357,-0.06391
1784787586.0344,104,43,0.03742,-0.07736
1784787586.0344,104,44,0.04146,-0.09384
1784787586.0344,104,45,0.03538,-0.07439
1784787586.0344,104,46,0.03818,-0.07812
1784787586.0344,104,47,0.04441,-0.08499
1784787586.0344,104,48,0.04771,-0.09722
1784787586.0344,104,49,0.04812,-0.10056
1784787586.0344,104,50,0.01026,-0.02927
1784787586.0344,104,51,0.01165,-0.03071
1784787586.0344,104,52,0.01047,-0.03001
1784787586.0344,104,53,0.01268,-0.04033
1784787586.0344,104,54,0.01125,-0.03834
1784787586.0344,104,55,0.0111,-0.02878
1784787586.0344,104,56,0.03565,-0.10179
1784787586.0344,104,57,0.03425,-0.10172
1784787586.0344,104,58,0.03973,-0.10326
1784787586.0344,104,59,0.04474,-0.10792
1784787586.2333,105,0,0.02398,-0.05844
1784787586.2333,105,1,0.02428,-0.05834
1784787586.2333,105,2,0.02686,-0.07367
1784787586.2333,105,3,0.02622,-0.07899
1784787586.2333,105,4,0.02349,-0.08152
1784787586.2333,105,5,0.02801,-0.09541
1784787586.2333,105,6,0.02207,-0.10221
1784787586.2333,105,7,0.01872,-0.09143
1784787586.2333,105,8,0.0173,-0.0927
1784787586.2333,105,9,0.01816,-0.0903
1784787586.2333,105,10,0.0209,-0.09467
1784787586.2333,105,11,0.02404,-0.10228
1784787586.2333,105,12,0.02685,-0.09898
1784787586.2333,105,13,0.02647,-0.08857
1784787586.2333,105,14,0.02761,-0.08376
1784787586.2333,105,15,0.02786,-0.08792
1784787586.2333,105,16,0.02602,-0.09034
1784787586.2333,105,17,0.02475,-0.09246
1784787586.2333,105,18,0.02188,-0.0984
1784787586.2333,105,19,0.02686,-0.12366
1784787586.2333,105,20,0.02792,-0.12174
1784787586.2333,105,21,0.02898,-0.11635
1784787586.2333,105,22,0.03155,-0.10611
1784787586.2333,105,23,0.02667,-0.09854
1784787586.2333,105,24,0.02931,-0.10338
1784787586.2333,105,25,0.02916,-0.13018
1784787586.2333,105,26,0.02925,-0.13311
1784787586.2333,105,27,0.03067,-0.13189
1784787586.2333,105,28,0.0331,-0.13084
1784787586.2333,105,29,0.03511,-0.1305
1784787586.2333,105,30,0.03505,-0.1217
1784787586.2333,105,31,0.02658,-0.11381
1784787586.2333,105,32,0.02742,-0.1123
1784787586.2333,105,33,0.02629,-0.12152
1784787586.2333,105,34,0.02871,-0.1267
1784787586.2333,105,35,0.02823,-0.12972
1784787586.2333,105,36,0.02817,-0.12825
1784787586.2333,105,37,0.03064,-0.12929
1784787586.2333,105,38,0.03205,-0.13278
1784787586.2333,105,39,0.03129,-0.13347
1784787586.2333,105,40,0.03277,-0.12986
1784787586.2333,105,41,0.0341,-0.12636
1784787586.2333,105,42,0.03131,-0.11827
1784787586.2333,105,43,0.03224,-0.11975
1784787586.2333,105,44,0.0296,-0.11439
1784787586.2333,105,45,0.02845,-0.13387
1784787586.2333,105,46,0.02689,-0.13741
1784787586.2333,105,47,0.02338,-0.13198
1784787586.2333,105,48,0.02361,-0.13545
