seq,anchor_robot_t,step,step_robot_t,vx,wz,dt
5023,175725.0915,9,175725.3915,0.0,0.0,0.03333
5023,175725.0915,10,175725.4248,0.0,0.0,0.03333
5023,175725.0915,11,175725.4581,0.0,0.0,0.03333
5023,175725.0915,12,175725.4915,0.0,0.0,0.03333
5023,175725.0915,13,175725.5248,0.0,0.0,0.03333
5023,175725.0915,14,175725.5581,0.0,0.0,0.03333
5023,175725.0915,15,175725.5915,0.0,0.0,0.03333
5023,175725.0915,16,175725.6248,0.0,0.0,0.03333
5023,175725.0915,17,175725.6581,0.0,0.0,0.03333
5023,175725.0915,18,175725.6915,0.0,0.0,0.03333
5023,175725.0915,19,175725.7248,0.0,0.0,0.03333
5023,175725.0915,20,175725.7581,0.0,0.0,0.03333
5023,175725.0915,21,175725.7915,0.0,0.0,0.03333
5023,175725.0915,22,175725.8248,0.0,0.0,0.03333
5023,175725.0915,23,175725.8581,0.0,0.0,0.03333
5023,175725.0915,24,175725.8915,0.0,0.0,0.03333
5023,175725.0915,25,175725.9248,0.0,0.0,0.03333
5023,175725.0915,26,175725.9581,0.0,0.0,0.03333
5023,175725.0915,27,175725.9915,0.0,0.0,0.03333
5023,175725.0915,28,175726.0248,0.0,0.0,0.03333
5023,175725.0915,29,175726.0581,0.0,0.0,0.03333
5023,175725.0915,30,175726.0915,0.0,0.0,0.03333
5023,175725.0915,31,175726.1248,0.0,0.0,0.03333
5024,175725.1927,0,175725.1927,0.0,0.0,0.03333
5024,175725.1927,1,175725.2261,0.0,0.0,0.03333
5024,175725.1927,2,175725.2594,0.0,0.0,0.03333
5024,175725.1927,3,175725.2927,0.0,0.0,0.03333
5024,175725.1927,4,175725.3261,0.0,0.0,0.03333
5024,175725.1927,5,175725.3594,0.0,0.0,0.03333
5024,175725.1927,6,175725.3927,0.0,0.0,0.03333
5024,175725.1927,7,175725.4261,0.0,0.0,0.03333
5024,175725.1927,8,175725.4594,0.0,0.0,0.03333
5024,175725.1927,9,175725.4927,0.0,0.0,0.03333
